Date,League,Team,Opponent,Result,G,A,TP,PIM,+/-,SOG,PPG,SHG,TOI
2021-11-25T17:30:00+0100,Liiga,TPS,vs KooKoo,L 1-4,0,0,0,0,-1,1,0,0,11:24
2021-11-20T14:00:00+0100, U20 SM-sarja,TPS U20,@ Lukko U20,L 2-5,0,1,1,0,0,12,0,0,26:13:00
2021-11-19T17:30:00+0100,Liiga,TPS,@ Tappara,W 2-1,0,0,0,0,0,2,0,0,12:36
2021-11-06T16:00:00+0100,Liiga,TPS,vs Tappara,L 1-4,0,0,0,0,0,1,0,0,12:16
2021-10-31T17:00:00+0100, U20 SM-sarja,TPS U20,vs Ilves U20,L 3-6,1,1,2,0,-1,4,1,0,20:17
2021-10-30T14:30:00+0300, U20 SM-sarja,TPS U20,vs TUTO Hockey U20,W 6-2,0,1,1,0,-1,11,0,0,19:02
2021-10-29T18:30:00+0300, U20 SM-sarja,TPS U20,vs Ässät U20,W 4-1,0,1,1,2,-1,4,0,0,17:10
2021-10-27T18:30:00+0300, Liiga,TPS,@ JYP,W 5-3,0,1,1,2,-1,2,0,0,14:11
2021-10-26T18:30:00+0300, Liiga,TPS,@ Jukurit,L 0-3,0,0,0,0,0,3,0,0,17:34
2021-10-23T17:00:00+0300, Liiga,TPS,vs HPK,W 1-0,0,0,0,2,0,2,0,0,12:27
2021-10-22T18:30:00+0300, Liiga,TPS,@ Ässät,W 3-2,0,1,1,0,1,2,0,0,9:01
2021-10-16T15:30:00+0300, U20 SM-sarja,TPS U20,@ JYP U20,W 6-1,1,0,1,0,1,6,1,0,21:33
2021-10-15T17:00:00+0300, U20 SM-sarja,TPS U20,@ SaiPa U20,W 8-1,2,4,6,0,6,4,0,0,18:55
2021-10-09T15:00:00+0300, U20 SM-sarja,TPS U20,@ Jokerit U20,W 6-4,0,2,2,2,0,5,0,0,21:50
2021-10-08T14:00:00+0300, U20 SM-sarja,TPS U20,@ KOOVEE U20,W 6-0,1,0,1,0,2,4,0,0,17:37
2021-10-02T16:00:00+0300, Liiga,TPS,vs Lukko,W 4-2,0,0,0,0,-1,3,0,0,13:20
2021-09-29T18:30:00+0300, Liiga,TPS,@ KooKoo,L 2-3,0,0,0,0,-1,3,0,0,11:55
2021-09-25T17:00:00+0300, Liiga,TPS,vs Jukurit,W 2-1,0,0,0,0,1,1,0,0,13:07
2021-09-23T18:30:00+0300, Liiga,TPS,@ HIFK,W 2-1,0,0,0,0,0,1,0,0,10:49
2021-09-22T18:30:00+0300, Liiga,TPS,vs SaiPa,W 3-1,0,0,0,0,1,2,0,0,11:23
2021-09-18T18:30:00+0300, Liiga,TPS,vs Lukko,W 1-0,0,1,1,2,1,4,0,0,19:52
2021-09-17T18:30:00+0300, Liiga,TPS,@ Pelicans,L 0-1,0,0,0,0,0,5,0,0,19:58
2021-09-15T18:30:00+0300, Liiga,TPS,@ JYP,W 2-1,0,0,0,0,0,2,0,0,16:25
2021-09-11T12:30:00+0300, U20 SM-sarja,TPS U20,vs KooKoo U20,W 3-1,0,0,0,0,0,11,0,0,20:46
2021-09-10T18:30:00+0300, U20 SM-sarja,TPS U20,vs Sport U20,W 5-2,0,2,2,0,3,5,0,0,19:07
